District,State,County,Tract,Block
16,24,031,704806,1002
16,24,031,704806,2001
16,24,031,704806,1005
16,24,031,704806,3002
16,24,031,704806,1003
16,24,031,704806,3004
16,24,031,704806,3005
16,24,031,704806,3003
16,24,031,704806,3001
16,24,031,704806,3000
16,24,031,704806,3007
16,24,031,705000,3003
16,24,031,704803,3004
16,24,031,704803,1003
16,24,031,705902,2012
16,24,031,705902,2004
16,24,031,705902,2011
16,24,031,705902,2006
16,24,031,705800,3025
16,24,031,705800,3024
16,24,031,705800,3022
16,24,031,705800,3002
16,24,031,705800,3051
16,24,031,705800,3001
16,24,031,705800,3035
16,24,031,705800,3006
16,24,031,705800,3031
16,24,031,705800,3030
16,24,031,705800,3036
16,24,031,705800,3033
16,24,031,705800,3032
16,24,031,705800,3034
16,24,031,705902,1012
16,24,031,705902,1011
16,24,031,705800,3007
16,24,031,705800,3000
16,24,031,705800,3049
16,24,031,705800,3005
16,24,031,705800,3050
16,24,031,705800,3003
16,24,031,705800,3004
16,24,031,705902,2003
16,24,031,705902,2014
16,24,031,705902,2017
16,24,031,705902,2016
16,24,031,705902,2007
16,24,031,704805,1007
18,24,031,704805,1001
18,24,031,704806,1012
18,24,031,704805,1005
18,24,031,705000,2011
18,24,031,705000,2010
18,24,031,705000,2003
16,24,031,704806,1001
16,24,031,704806,1000
16,24,031,704806,3006
16,24,031,705000,3009
16,24,031,705000,6017
16,24,031,705000,3004
16,24,031,705000,3002
16,24,031,705000,2002
16,24,031,705000,3010
18,24,031,704805,1000
18,24,031,705000,2012
18,24,031,705000,2009
18,24,031,705000,2004
18,24,031,705000,2005
18,24,031,705000,2006
18,24,031,705000,2008
18,24,031,705000,2007
16,24,031,705000,2001
16,24,031,705000,3011
16,24,031,705000,3008
16,24,031,705000,3005
16,24,031,705000,3001
16,24,031,705000,2000
16,24,031,705000,3012
16,24,031,705000,3007
15,24,031,706005,1000
15,24,031,706005,1001
15,24,031,706005,1005
15,24,031,706011,3010
15,24,031,706005,1006
15,24,031,706005,1004
15,24,031,706011,3009
15,24,031,706011,3007
15,24,031,706011,3006
15,24,031,706011,2002
15,24,031,706011,2003
15,24,031,706011,2006
15,24,031,706011,2004
15,24,031,706011,2007
15,24,031,706011,2014
15,24,031,706010,2002
15,24,031,706010,2001
15,24,031,706011,2005
15,24,031,706010,2003
15,24,031,706010,2000
15,24,031,706011,1012
15,24,031,706011,1011
15,24,031,706011,1013
15,24,031,706011,2013
15,24,031,706011,2012
15,24,031,706011,2011
15,24,031,706011,2008
15,24,031,706011,1014
15,24,031,706011,2010
15,24,031,706011,1010
15,24,031,706011,1009
15,24,031,706011,1007
16,24,031,705502,1018
16,24,031,705602,1000
18,24,031,705300,2006
16,24,031,705502,3000
18,24,031,705300,2009
18,24,031,705300,2005
18,24,031,705300,2004
16,24,031,705502,1006
16,24,031,705502,1003
16,24,031,705502,1004
16,24,031,705502,1025
16,24,031,705502,1005
16,24,031,705502,1011
16,24,031,705502,1009
16,24,031,705502,1028
16,24,031,705502,1024
16,24,031,705502,1023
16,24,031,704803,2003
16,24,031,705502,1008
16,24,031,705502,1002
16,24,031,705502,1012
16,24,031,705502,1013
16,24,031,705502,1014
16,24,031,705502,1015
16,24,031,705502,1016
16,24,031,705502,1017
16,24,031,705502,1001
16,24,031,705502,1000
16,24,031,704803,2000
16,24,031,704700,3015
16,24,031,704700,2019
16,24,031,704700,2014
16,24,031,705502,1021
16,24,031,705502,1022
16,24,031,704700,3017
16,24,031,704700,3016
16,24,031,704803,2007
16,24,031,704803,2005
16,24,031,704803,2004
16,24,031,704803,2006
16,24,031,705502,1020
16,24,031,705502,1007
16,24,031,705502,1010
16,24,031,704803,2001
16,24,031,705602,3001
16,24,031,705502,3001
16,24,031,705602,3002
16,24,031,705602,3000
16,24,031,705502,3002
16,24,031,705502,3005
16,24,031,705502,1026
16,24,031,705502,1019
16,24,031,705501,2000
16,24,031,705602,2000
16,24,031,705602,1006
16,24,031,705602,1005
16,24,031,705501,1005
16,24,031,705501,1004
16,24,031,705501,1003
16,24,031,705602,1002
16,24,031,705602,1001
16,24,031,705602,1003
16,24,031,705602,1004
16,24,031,705502,1030
16,24,031,704700,2018
16,24,031,704700,2017
16,24,031,704700,2015
16,24,031,704803,3002
16,24,031,704803,3001
16,24,031,704700,2016
16,24,031,704700,2009
16,24,031,704700,2008
16,24,031,704700,2004
16,24,031,704700,2001
16,24,031,704700,2007
16,24,031,704700,2005
16,24,031,704700,2006
16,24,031,704700,2000
16,24,031,704804,1010
16,24,031,704803,2002
16,24,031,704803,3003
16,24,031,704803,3000
16,24,031,704804,1009
16,24,031,704804,1006
16,24,031,704804,1005
16,24,031,704804,1001
16,24,031,704805,2001
16,24,031,704804,1007
16,24,031,704804,1003
16,24,031,704805,2002
16,24,031,704804,1004
16,24,031,704804,1000
16,24,031,704805,1008
16,24,031,704700,1012
16,24,031,704700,1008
16,24,031,704700,1009
16,24,031,705000,3006
16,24,031,705000,3000
18,24,031,705501,1007
18,24,031,705501,1002
18,24,031,705300,2007
18,24,031,705300,2022
18,24,031,705501,1001
18,24,031,705501,1000
18,24,031,705300,2008
18,24,031,705300,2014
18,24,031,705300,2015
18,24,031,705300,2010
18,24,031,705300,2016
18,24,031,705300,2013
18,24,031,705300,2020
18,24,031,705300,2021
18,24,031,705300,2017
18,24,031,705300,2018
18,24,031,705300,2001
18,24,031,705300,2019
18,24,031,705300,2011
18,24,031,705300,2012
18,24,031,705300,2000
18,24,031,705400,2027
18,24,031,705300,2003
18,24,031,705300,2002
18,24,031,705300,1026
18,24,031,705300,1027
18,24,031,705300,1025
18,24,031,705400,2026
18,24,031,705400,2028
18,24,031,705300,1033
16,24,031,705601,3011
16,24,031,705601,3010
16,24,031,705601,3009
16,24,031,705601,3005
16,24,031,705601,3008
16,24,031,705601,1017
16,24,031,705601,2014
16,24,031,705601,2012
16,24,031,705601,2015
16,24,031,705601,3004
16,24,031,705601,2010
16,24,031,705601,2011
16,24,031,705601,1012
16,24,031,705601,1003
16,24,031,705601,1008
16,24,031,705601,1010
16,24,031,705601,1006
16,24,031,705601,1004
16,24,031,705601,3006
16,24,031,705601,3003
16,24,031,705601,3000
16,24,031,705601,3001
16,24,031,705601,2008
16,24,031,705601,3007
16,24,031,705601,3002
16,24,031,705601,2009
16,24,031,705601,2000
16,24,031,705601,1007
16,24,031,705601,1005
16,24,031,705601,2001
16,24,031,705601,2003
16,24,031,705501,2002
16,24,031,705702,2004
16,24,031,705702,1004
16,24,031,705702,1014
16,24,031,705702,1005
16,24,031,705702,1007
16,24,031,705702,1013
16,24,031,705702,1008
16,24,031,705702,1006
16,24,031,705702,1009
16,24,031,705702,2010
16,24,031,705702,2003
16,24,031,705702,2002
16,24,031,705702,2001
16,24,031,705702,2000
16,24,031,705702,1010
16,24,031,705701,3011
16,24,031,705702,1012
16,24,031,705702,1011
16,24,031,705702,3006
16,24,031,705702,3005
16,24,031,705702,3004
16,24,031,705702,3000
16,24,031,705702,3001
16,24,031,705702,3002
16,24,031,705702,3007
16,24,031,705702,3013
16,24,031,705702,3008
16,24,031,705702,3017
16,24,031,705702,3011
16,24,031,705702,3012
16,24,031,705702,3003
16,24,031,705601,1015
16,24,031,705601,2007
16,24,031,705601,2004
16,24,031,705601,2006
16,24,031,705601,2002
16,24,031,705501,2011
16,24,031,705501,2009
16,24,031,705501,2003
16,24,031,705601,2005
16,24,031,705501,2010
16,24,031,705501,2008
16,24,031,705501,2004
16,24,031,705501,2005
16,24,031,705501,2007
16,24,031,705501,2006
16,24,031,705501,1006
16,24,031,705601,1002
16,24,031,705601,1009
16,24,031,705601,1000
16,24,031,705502,3011
16,24,031,705502,3012
16,24,031,705502,3010
16,24,031,705502,3009
16,24,031,705502,3006
16,24,031,705502,3013
16,24,031,705502,3008
16,24,031,705502,3003
16,24,031,705502,3014
16,24,031,705501,2001
16,24,031,705502,3004
16,24,031,705502,3007
16,24,031,705502,1027
16,24,031,705502,1029
16,24,031,705701,2006
16,24,031,705701,2011
16,24,031,705701,2010
16,24,031,705701,2007
16,24,031,705701,2002
16,24,031,705903,1017
16,24,031,705701,2001
16,24,031,705502,2010
16,24,031,705701,3004
16,24,031,705701,3005
16,24,031,705701,3002
16,24,031,705701,2009
16,24,031,705701,2014
16,24,031,705701,2000
16,24,031,705701,3000
16,24,031,705502,2012
16,24,031,705502,2013
16,24,031,705701,3001
16,24,031,705701,3003
16,24,031,705502,2017
16,24,031,705502,2019
16,24,031,705502,2015
16,24,031,705502,2016
16,24,031,705502,2014
16,24,031,705502,2009
16,24,031,705502,2024
16,24,031,705502,2005
16,24,031,705903,1022
16,24,031,705502,2006
16,24,031,705502,2018
16,24,031,705502,2008
16,24,031,705502,2023
16,24,031,704803,1002
16,24,031,704803,1004
16,24,031,704803,1009
16,24,031,704803,1005
16,24,031,704803,1001
18,24,031,704803,1006
18,24,031,704803,1000
16,24,031,704804,1008
16,24,031,704804,1002
16,24,031,704804,2007
16,24,031,704804,2006
18,24,031,704804,2003
16,24,031,704804,2005
16,24,031,704805,1006
18,24,031,704804,2004
18,24,031,704804,2008
18,24,031,704804,2009
18,24,031,705400,1005
18,24,031,704804,2002
18,24,031,704803,1008
18,24,031,704803,1007
18,24,031,705400,1013
18,24,031,705400,1011
18,24,031,705400,1012
18,24,031,705400,1015
18,24,031,705400,1017
18,24,031,705400,1014
18,24,031,705400,1004
18,24,031,705400,1003
18,24,031,704804,2000
18,24,031,704804,2001
18,24,031,705400,1006
16,24,031,704503,1011
16,24,031,704503,1010
16,24,031,704503,1004
16,24,031,704503,1006
16,24,031,704503,1017
16,24,031,704503,1016
16,24,031,704503,1005
16,24,031,704501,4000
16,24,031,704503,1003
16,24,031,704501,3000
16,24,031,704501,3001
16,24,031,704501,4001
16,24,031,704501,1007
16,24,031,704501,1006
16,24,031,704501,4003
16,24,031,704501,1002
16,24,031,704501,1001
16,24,031,704501,1003
16,24,031,701205,3013
16,24,031,704501,1000
16,24,031,704401,1021
16,24,031,704401,1022
16,24,031,704401,1023
16,24,031,704401,2003
16,24,031,704401,2013
16,24,031,704401,2014
16,24,031,704401,2015
16,24,031,704401,2006
16,24,031,704401,2009
16,24,031,704600,3013
16,24,031,704600,3019
16,24,031,704600,3012
16,24,031,704404,4008
16,24,031,704404,4006
16,24,031,704404,4007
16,24,031,704404,1032
16,24,031,705000,5006
16,24,031,704404,4009
16,24,031,704404,1030
16,24,031,704404,4003
16,24,031,704404,4002
16,24,031,704404,1029
16,24,031,704404,1025
16,24,031,704404,1031
16,24,031,704404,1026
16,24,031,704503,1018
16,24,031,704503,1015
16,24,031,704503,1007
16,24,031,704503,1002
16,24,031,704503,1019
16,24,031,704503,1020
16,24,031,704503,1021
16,24,031,704503,1001
16,24,031,704503,1000
16,24,031,704401,1014
16,24,031,704401,1012
16,24,031,704401,1013
16,24,031,704404,3001
16,24,031,704404,3000
16,24,031,704404,3003
16,24,031,704404,3004
16,24,031,704404,3002
16,24,031,704404,3005
16,24,031,704401,1029
16,24,031,704401,1028
16,24,031,704401,1024
16,24,031,704401,2016
16,24,031,704401,2017
16,24,031,704401,1018
16,24,031,704401,1027
16,24,031,704401,1025
16,24,031,704401,1020
16,24,031,704401,1016
16,24,031,704401,1026
16,24,031,704401,1017
16,24,031,704401,2018
16,24,031,704401,2002
16,24,031,704401,2011
16,24,031,704404,4005
16,24,031,704404,4004
16,24,031,704403,1005
16,24,031,704401,1031
16,24,031,704404,4001
16,24,031,704404,2010
16,24,031,704404,2009
16,24,031,704403,1004
16,24,031,704403,1003
16,24,031,704401,1011
16,24,031,704401,1019
16,24,031,704401,1015
16,24,031,704401,2000
16,24,031,704401,1010
16,24,031,704401,1030
16,24,031,704401,1009
16,24,031,704401,1008
16,24,031,701215,2000
18,24,031,701202,2018
18,24,031,701202,2020
18,24,031,701202,2021
18,24,031,701202,2013
18,24,031,701202,2001
18,24,031,701202,2002
18,24,031,701202,2016
18,24,031,701202,2015
18,24,031,701202,2017
18,24,031,701202,2014
18,24,031,701202,1006
18,24,031,701202,1001
18,24,031,701202,1003
18,24,031,701202,1002
18,24,031,701202,1004
18,24,031,701202,1000
18,24,031,701214,1000
18,24,031,701214,1001
18,24,031,701202,1017
18,24,031,701202,1015
18,24,031,701202,1018
18,24,031,701202,1010
18,24,031,704300,2004
18,24,031,704300,1005
18,24,031,704300,1003
18,24,031,704300,1004
18,24,031,701202,1009
18,24,031,701202,1011
18,24,031,701202,1014
18,24,031,704300,1006
18,24,031,701202,1005
18,24,031,701202,1007
18,24,031,704401,1003
18,24,031,701214,1004
18,24,031,701214,1003
18,24,031,704300,4002
18,24,031,704300,2016
18,24,031,704300,2013
18,24,031,704300,2014
18,24,031,704300,2015
18,24,031,701214,1002
16,24,031,704404,2002
16,24,031,704404,2001
18,24,031,704300,4003
16,24,031,704404,2000
18,24,031,704300,4004
18,24,031,704300,4010
18,24,031,704100,3015
18,24,031,704300,4006
18,24,031,704300,4007
18,24,031,704300,4008
18,24,031,704300,4009
18,24,031,704100,3010
18,24,031,704300,3012
18,24,031,704300,4001
18,24,031,704300,4000
18,24,031,704300,2007
18,24,031,704300,3013
18,24,031,704300,3002
18,24,031,704300,3003
18,24,031,704300,3001
18,24,031,704300,3004
18,24,031,704300,2005
18,24,031,704300,2008
16,24,031,704404,1009
16,24,031,704404,1006
16,24,031,704404,1008
16,24,031,704404,1003
16,24,031,704404,1002
16,24,031,704404,2014
16,24,031,704404,2012
16,24,031,704404,4000
16,24,031,704404,2008
16,24,031,704404,2011
16,24,031,704401,1032
16,24,031,704403,1002
16,24,031,704403,1001
16,24,031,704401,1033
16,24,031,704401,1005
16,24,031,704404,1015
16,24,031,704404,2004
16,24,031,704404,2013
16,24,031,704404,2006
16,24,031,704404,1016
16,24,031,704404,1018
16,24,031,704404,1017
16,24,031,704404,2005
16,24,031,704403,1000
16,24,031,704404,2007
16,24,031,704401,1006
18,24,031,704300,4005
16,24,031,704401,1007
16,24,031,704401,1004
16,24,031,704401,1001
18,24,031,704401,1000
16,24,031,704401,1002
16,24,031,701215,3005
16,24,031,701223,1003
16,24,031,701223,1002
16,24,031,701222,2005
16,24,031,701222,1002
16,24,031,701222,2000
16,24,031,701222,1006
16,24,031,701222,1001
16,24,031,701222,1004
16,24,031,701222,3008
16,24,031,701222,3006
16,24,031,701222,3007
16,24,031,701222,3005
16,24,031,701222,3004
16,24,031,701222,3010
16,24,031,701222,3003
16,24,031,701222,3009
16,24,031,701222,3002
16,24,031,701215,3004
16,24,031,701223,1001
16,24,031,701223,1004
16,24,031,701215,4000
16,24,031,701215,1001
16,24,031,701215,1000
18,24,031,701214,2004
18,24,031,701214,2001
16,24,031,701222,1005
16,24,031,701222,1003
18,24,031,701202,2023
16,24,031,701223,1000
16,24,031,701222,1000
18,24,031,701202,2006
39,24,031,700834,2001
39,24,031,700835,1003
39,24,031,700835,1002
39,24,031,700835,3001
39,24,031,700835,3000
39,24,031,700835,1005
39,24,031,700835,1004
39,24,031,700835,1001
14,24,031,700209,3006
14,24,031,700209,3012
14,24,031,700209,3015
39,24,031,700810,1002
39,24,031,700810,1001
39,24,031,700835,1011
39,24,031,700835,1000
39,24,031,700810,2007
39,24,031,700810,1000
14,24,031,700209,3013
14,24,031,700209,3014
14,24,031,700209,3007
14,24,031,700209,3008
14,24,031,700101,2007
14,24,031,700209,3001
14,24,031,700209,3002
14,24,031,700209,3003
14,24,031,700209,3000
14,24,031,700209,1006
14,24,031,700209,1001
14,24,031,700209,1005
14,24,031,700209,1004
14,24,031,700209,3011
14,24,031,700209,3004
19,24,031,701212,2003
19,24,031,700710,3005
19,24,031,700710,2000
19,24,031,700710,2002
19,24,031,700710,2001
19,24,031,700710,3003
19,24,031,700710,3002
19,24,031,700710,3000
19,24,031,700103,3008
19,24,031,700103,3007
19,24,031,701307,2012
19,24,031,701307,2013
19,24,031,700103,3006
19,24,031,700730,1003
19,24,031,700730,1012
19,24,031,700730,1007
39,24,031,700730,1005
19,24,031,700730,1002
19,24,031,700730,1004
39,24,031,700105,1007
19,24,031,700730,1006
19,24,031,700730,1008
39,24,031,700105,1000
39,24,031,700105,1001
19,24,031,700103,3005
39,24,031,700105,1004
39,24,031,700105,1008
39,24,031,700105,2000
39,24,031,700104,3008
39,24,031,700105,2009
39,24,031,700105,3010
39,24,031,700105,3004
15,24,031,701220,1017
15,24,031,701220,1018
17,24,031,701006,3006
17,24,031,701220,1020
15,24,031,701220,1019
17,24,031,701006,3002
15,24,031,701220,1014
15,24,031,701220,1001
17,24,031,701220,1010
17,24,031,701220,1004
17,24,031,701220,1003
17,24,031,701220,1008
17,24,031,701220,1007
17,24,031,701220,1002
17,24,031,701220,1009
17,24,031,701220,1000
17,24,031,701220,1005
17,24,031,701220,1006
17,24,031,701220,1011
15,24,031,701221,1006
17,24,031,701221,1007
15,24,031,701221,2004
15,24,031,701221,1000
15,24,031,701221,1005
17,24,031,701220,1013
17,24,031,701006,3005
17,24,031,701006,3004
17,24,031,701006,3001
17,24,031,701006,3003
17,24,031,701006,1006
17,24,031,701006,1005
17,24,031,701007,2024
15,24,031,700317,1092
15,24,031,700317,1091
15,24,031,700317,1090
15,24,031,700317,1097
15,24,031,700317,1095
15,24,031,700317,1045
15,24,031,700317,1033
15,24,031,700317,1039
15,24,031,700317,1042
15,24,031,700317,1096
15,24,031,700317,1044
15,24,031,700317,1093
15,24,031,700317,1029
15,24,031,700317,1038
15,24,031,700317,1043
15,24,031,700317,1041
15,24,031,700317,1034
15,24,031,700317,1026
15,24,031,700308,4001
15,24,031,700308,1000
15,24,031,700308,3003
15,24,031,700308,3002
15,24,031,700308,3000
15,24,031,700308,1003
15,24,031,700308,1001
15,24,031,700308,3001
15,24,031,700309,3003
15,24,031,700309,3002
15,24,031,700309,3000
15,24,031,700308,3004
15,24,031,700308,2003
15,24,031,700309,3001
39,24,031,700105,2011
39,24,031,700104,1008
39,24,031,700105,2005
39,24,031,700105,2013
39,24,031,700105,2014
39,24,031,700104,1009
39,24,031,700104,1006
39,24,031,700104,1007
39,24,031,700105,2012
39,24,031,700105,2010
39,24,031,700105,2004
39,24,031,700105,2006
39,24,031,700105,2002
39,24,031,700105,2003
39,24,031,700104,1003
39,24,031,700104,1004
39,24,031,700104,1002
39,24,031,700105,2015
39,24,031,700105,2008
39,24,031,700105,2007
39,24,031,700104,1000
39,24,031,700105,2001
39,24,031,700104,1001
39,24,031,700104,3007
19,24,031,700711,2011
19,24,031,700711,2006
19,24,031,700711,2010
19,24,031,700711,2007
19,24,031,700711,1015
19,24,031,700711,2005
19,24,031,700711,1018
19,24,031,700711,1007
39,24,031,700715,2004
39,24,031,700812,1000
39,24,031,700812,1001
39,24,031,700812,2011
39,24,031,700715,2001
39,24,031,700812,2010
39,24,031,700811,2017
39,24,031,700715,2003
39,24,031,700812,2000
39,24,031,700811,2015
39,24,031,700812,2002
39,24,031,700811,2014
39,24,031,700811,2016
39,24,031,700811,2009
39,24,031,700811,2011
39,24,031,700811,2008
39,24,031,700810,3001
39,24,031,700811,2004
39,24,031,700811,2005
39,24,031,700810,2006
39,24,031,700810,2011
39,24,031,700811,2003
39,24,031,700811,2006
39,24,031,700811,1006
39,24,031,700811,1004
39,24,031,700811,1003
39,24,031,700811,2013
39,24,031,700811,2010
39,24,031,700811,2012
39,24,031,700715,1003
39,24,031,700715,1009
39,24,031,700811,2007
39,24,031,700811,2002
39,24,031,700811,2001
39,24,031,700811,2000
39,24,031,700811,1002
39,24,031,700811,1005
39,24,031,700811,1001
39,24,031,700811,1000
39,24,031,700715,1006
39,24,031,700715,1005
39,24,031,700730,2004
39,24,031,700730,2007
39,24,031,700730,2005
39,24,031,700730,2009
39,24,031,700715,2002
39,24,031,700715,2000
39,24,031,700730,2003
39,24,031,700730,2000
39,24,031,700730,2006
39,24,031,700730,2008
39,24,031,700730,2001
19,24,031,700730,1013
39,24,031,700730,2002
19,24,031,700730,1011
19,24,031,700730,1010
19,24,031,700730,1000
19,24,031,700730,1001
39,24,031,700715,1002
39,24,031,700715,1000
39,24,031,700715,1008
39,24,031,700715,1007
39,24,031,700715,1004
39,24,031,700715,1001
19,24,031,700729,2009
39,24,031,700729,2007
39,24,031,700729,2002
39,24,031,700729,2004
39,24,031,700713,2002
39,24,031,700713,2000
39,24,031,700713,1004
39,24,031,700713,1002
39,24,031,700713,4002
39,24,031,700713,1001
39,24,031,700812,1005
39,24,031,700713,1000
39,24,031,700713,4000
39,24,031,700812,1009
39,24,031,700812,1010
39,24,031,700812,1008
39,24,031,700812,1006
39,24,031,700812,1002
39,24,031,700812,2004
39,24,031,700812,2003
39,24,031,700812,1013
39,24,031,700812,2001
39,24,031,700812,1011
17,24,031,700729,1009
17,24,031,700729,1008
39,24,031,700715,2005
39,24,031,700812,1007
39,24,031,700729,1007
39,24,031,700729,1006
39,24,031,700729,1005
39,24,031,700729,1004
39,24,031,700715,2006
17,24,031,701006,2014
17,24,031,701006,2002
17,24,031,701006,2012
17,24,031,701006,2003
17,24,031,701006,2004
17,24,031,701007,3001
17,24,031,701007,3000
17,24,031,701007,3002
17,24,031,701005,3012
17,24,031,701005,2009
17,24,031,701005,2008
17,24,031,701005,2010
17,24,031,701005,2007
17,24,031,701004,4003
15,24,031,701221,2003
15,24,031,700838,2019
15,24,031,701221,1001
17,24,031,701007,2025
17,24,031,701007,2019
15,24,031,700838,2014
15,24,031,700838,2010
15,24,031,700838,2009
15,24,031,700838,2000
15,24,031,700838,2015
15,24,031,700838,1002
15,24,031,700838,2016
17,24,031,701007,2020
17,24,031,701007,2021
17,24,031,701007,2018
17,24,031,701007,2017
17,24,031,701007,2003
17,24,031,701007,2023
17,24,031,701007,2022
17,24,031,701007,2010
17,24,031,701007,2014
17,24,031,701007,2002
17,24,031,701007,2007
17,24,031,701007,2012
17,24,031,701007,1002
17,24,031,701007,2009
17,24,031,701007,2008
17,24,031,701007,2006
17,24,031,701007,2011
17,24,031,701007,2004
17,24,031,701007,2000
17,24,031,701007,2001
17,24,031,701007,2005
17,24,031,701007,1006
17,24,031,701007,1001
17,24,031,701007,1000
15,24,031,700838,1001
15,24,031,700838,1000
17,24,031,701007,1003
17,24,031,701007,1004
17,24,031,701007,3005
17,24,031,701007,3006
17,24,031,700839,3012
17,24,031,700839,3013
17,24,031,700839,2003
17,24,031,700839,3003
17,24,031,700839,3011
17,24,031,700839,3010
17,24,031,700839,3029
17,24,031,700839,3031
17,24,031,700723,2001
17,24,031,700723,1000
17,24,031,700723,1003
17,24,031,700713,3001
39,24,031,700713,2003
39,24,031,700713,3000
17,24,031,700723,1001
39,24,031,700713,4006
39,24,031,700713,4005
39,24,031,700713,4007
39,24,031,700713,4008
39,24,031,700713,4001
39,24,031,700713,4004
39,24,031,700713,4003
17,24,031,700725,1002
17,24,031,700723,2000
17,24,031,700725,2002
17,24,031,700725,2005
17,24,031,700725,2000
17,24,031,700725,2001
17,24,031,700725,1004
17,24,031,700725,1000
17,24,031,700725,1003
17,24,031,700725,1001
39,24,031,700726,2000
17,24,031,700725,2003
17,24,031,700726,1008
17,24,031,700726,1007
17,24,031,700725,2004
17,24,031,700726,1006
17,24,031,700726,1002
17,24,031,700726,1004
17,24,031,700731,1013
17,24,031,700732,1009
17,24,031,700732,1005
17,24,031,700732,1004
17,24,031,700732,1006
17,24,031,700732,1003
17,24,031,700732,1000
17,24,031,700732,2000
17,24,031,700728,2015
17,24,031,700728,2014
17,24,031,700731,1012
17,24,031,700727,1009
17,24,031,700727,1010
17,24,031,700727,1001
17,24,031,700727,1000
17,24,031,700727,1002
17,24,031,700727,1007
17,24,031,700728,2013
17,24,031,700727,1006
17,24,031,700727,1008
17,24,031,700727,1003
17,24,031,700727,1005
17,24,031,700723,4008
17,24,031,700723,4004
17,24,031,700723,4010
17,24,031,700723,4009
17,24,031,700723,4003
17,24,031,700723,1002
17,24,031,700723,4013
17,24,031,700723,4011
17,24,031,700723,2002
17,24,031,700723,4012
39,24,031,700314,1008
39,24,031,700210,1019
39,24,031,700210,1020
39,24,031,700210,1018
39,24,031,700210,2011
39,24,031,700830,2000
39,24,031,700313,5004
39,24,031,700830,1001
39,24,031,700313,5000
39,24,031,700313,3005
39,24,031,700313,5003
39,24,031,700313,5001
39,24,031,700830,1000
39,24,031,700830,1002
39,24,031,700830,1004
39,24,031,700835,1009
39,24,031,700835,2015
39,24,031,700835,1008
39,24,031,700313,3004
39,24,031,700314,2017
39,24,031,700314,2014
39,24,031,700210,1024
39,24,031,700835,2014
39,24,031,700835,2013
39,24,031,700835,2010
39,24,031,700835,2012
39,24,031,700835,2011
39,24,031,700313,3002
39,24,031,700313,3003
39,24,031,700313,3001
39,24,031,700313,3000
39,24,031,700834,2003
15,24,031,700611,2004
15,24,031,700611,3010
15,24,031,700611,2006
15,24,031,700611,2009
15,24,031,700611,2005
15,24,031,700611,2010
15,24,031,700611,3016
15,24,031,700611,3009
15,24,031,700611,2007
15,24,031,700611,2003
15,24,031,700611,3011
15,24,031,700611,3012
15,24,031,700611,3013
15,24,031,700611,3014
15,24,031,700611,3004
15,24,031,700611,3000
15,24,031,700317,1065
15,24,031,700317,1079
15,24,031,700317,1066
15,24,031,700310,1003
39,24,031,700613,1022
39,24,031,700613,3001
15,24,031,700613,3004
15,24,031,700613,3005
39,24,031,700613,1017
39,24,031,700613,1013
39,24,031,700613,1015
15,24,031,700611,1015
39,24,031,700613,1014
15,24,031,700611,1012
15,24,031,700611,1027
39,24,031,700613,1019
15,24,031,700317,1019
15,24,031,700317,1005
15,24,031,700317,1007
15,24,031,700317,1006
15,24,031,700317,1008
15,24,031,700317,1004
15,24,031,700317,1003
15,24,031,700317,1002
15,24,031,700317,1070
15,24,031,700317,1053
15,24,031,700317,1052
15,24,031,700317,1075
15,24,031,700308,1005
15,24,031,700308,1002
15,24,031,700317,1074
15,24,031,700317,1073
15,24,031,700308,1004
15,24,031,700317,1050
15,24,031,700317,1009
15,24,031,700317,1012
15,24,031,700317,1094
15,24,031,700317,1081
15,24,031,700317,1051
15,24,031,700317,1080
15,24,031,700317,1036
15,24,031,700317,1046
15,24,031,700317,1082
15,24,031,700317,1037
15,24,031,700317,1040
15,24,031,700317,1047
15,24,031,700317,1083
15,24,031,700317,1035
19,24,031,701211,1007
19,24,031,701211,1003
19,24,031,701211,1005
19,24,031,701211,1004
19,24,031,701211,1002
19,24,031,701212,2015
19,24,031,701212,2016
19,24,031,701212,1004
19,24,031,701212,2018
19,24,031,701212,2017
19,24,031,701212,1005
19,24,031,701212,1001
19,24,031,701211,1001
19,24,031,701212,2014
17,24,031,700732,2001
17,24,031,700731,1015
17,24,031,700731,1016
17,24,031,700731,1011
17,24,031,700731,1009
17,24,031,700731,1003
17,24,031,700731,1010
17,24,031,700731,1002
17,24,031,700731,1007
17,24,031,700731,1004
17,24,031,700731,1005
17,24,031,700731,1001
17,24,031,700731,1000
17,24,031,700731,1008
17,24,031,700731,1006
17,24,031,700732,1010
17,24,031,700732,1002
17,24,031,700731,1014
39,24,031,700721,1001
39,24,031,700813,4001
39,24,031,700813,4002
39,24,031,700813,4000
39,24,031,700813,2006
39,24,031,700812,1004
39,24,031,700812,2009
39,24,031,700812,1003
39,24,031,700812,2008
39,24,031,700813,3003
39,24,031,700813,3002
39,24,031,700813,3001
39,24,031,700810,3008
39,24,031,700813,2007
39,24,031,700813,3000
39,24,031,700810,3009
39,24,031,700810,1006
39,24,031,700810,3007
39,24,031,700810,3006
39,24,031,700810,3005
39,24,031,700810,2008
39,24,031,700810,1007
39,24,031,700810,2003
39,24,031,700813,2002
39,24,031,700813,2005
39,24,031,700813,2004
39,24,031,700813,2001
39,24,031,700812,2006
39,24,031,700812,2007
39,24,031,700813,2000
39,24,031,700812,2005
